Byte	frequency
0	0.214458704759908
1	0.1839756093376818
2	0.1957014910452875
3	0.18066831431199726
4	0.18399514275978923
5	0.18734824540837697
6	0.18514486536415084
7	0.18449172903186806
8	0.18080526781016182
9	0.17564034123221714
10	0.18433911347160828
11	0.174526888376634
12	0.1860049998292925
13	0.18030534685486918
14	0.17726275923750415
15	0.17803855249200642
16	0.1778208163455892
17	0.1696570747581851
18	0.16647873099509264
19	0.1731079035329844
20	0.1741496611631855
21	0.1703437566409511
22	0.17721726964352952
23	0.18134214461606377
24	0.18001065962531726
25	0.17034389240893846
26	0.17128482428579062
27	0.17746199795543677
28	0.1683022725007603
29	0.16632862816809862
30	0.17300192349733157
31	0.1870829128691648
32	0.18726861380183232
33	0.17826150074336608
34	0.17007268924211355
35	0.17405239114114096
36	0.17314433525078368
37	0.17262807966932747
38	0.17935115488020045
39	0.17680140897624058
40	0.1739016487684916
41	0.1709801310918723
42	0.18287989753067935
43	0.17866375537725834
44	0.1782836774602525
45	0.17839682652584546
46	0.18228657291919778
47	0.19154877536611992
48	0.1864409033172252
49	0.17888359703099002
50	0.16473540169341105
51	0.16655789246319083
52	0.1705645278361646
53	0.17553501974159855
54	0.17748720968035117
55	0.18179840914936773
56	0.1821741651866309
57	0.16916341855166372
58	0.1789546252589798
59	0.18744109220106867
60	0.17393480022063332
61	0.18547650884062555
62	0.18897951638861984
63	0.2127610526499939
64	0.18823726603053037
65	0.18831675699769831
66	0.18965558447761582
67	0.18739169069963293
68	0.17707477146294484
69	0.18280693339242987
70	0.18442167978253193
71	0.17882003872546204
72	0.1744143722577308
73	0.16862747359196512
74	0.167180589552878
75	0.17934106407863665
76	0.1694187775625517
77	0.17384425465297226
78	0.16331559635707982
79	0.17360033139153874
80	0.17917346656560265
81	0.16491541893247877
82	0.17068101801382113
83	0.18216190322769518
84	0.1718942328775724
85	0.17677747377715816
86	0.17462564768510233
87	0.18947814825790849
88	0.18181959081726728
89	0.16588964284411453
90	0.171019885957812
91	0.1849164983708122
92	0.17422575644286403
93	0.18486562841395238
94	0.17959440636705148
95	0.2062761374221335
96	0.18966176510518176
97	0.19027796366609542
98	0.18198298894038278
99	0.18408735364275006
100	0.1682474635788532
101	0.1737249671804298
102	0.16948909072359603
103	0.1705183400830599
104	0.17037601447354786
105	0.17837102551528192
106	0.17630263179731281
107	0.19226729348654356
108	0.17210537122004174
109	0.17966280412319557
110	0.1843347659865256
111	0.20044890620904365
112	0.1975675936400004
113	0.18735348479188416
114	0.17139670503619955
115	0.1737652130396228
116	0.18336011914515052
117	0.1885916917725411
118	0.1798476885912787
119	0.1962140051061295
120	0.2024234653643378
121	0.17680753053817877
122	0.2000508148227959
123	0.19426974280972778
124	0.19853461674803038
125	0.20297462100804065
126	0.21793953293748894
127	0.2961917024451787
128	0.9940479232159918
129	0.4494133602165145
130	0.27182985693319306
131	0.2300477368038753
132	0.2272426381801121
133	0.2149567839965044
134	0.22533689677465563
135	0.22592554227187686
136	0.28134692721060145
137	0.21337085384122276
138	0.21533721190616797
139	0.1996697489608913
140	0.2096881540809938
141	0.1971575321132858
142	0.21437028491926224
143	0.19219243960981924
144	0.2174099570673396
145	0.1904536762642388
146	0.1867289638973477
147	0.18413262316575835
148	0.20307412232585276
149	0.19852983022461715
150	0.17960683775741196
151	0.18783053210352738
152	0.208689498347353
153	0.18491397395765835
154	0.18522544063558044
155	0.18429066672709515
156	0.18756213094398663
157	0.18302181006033771
158	0.1788427925035618
159	0.19279694230251995
160	0.2515461427849471
161	0.1979775864556976
162	0.1905595480366957
163	0.17781971656888867
164	0.18099430630664462
165	0.1763786083158902
166	0.17481029634360437
167	0.1812334095221444
168	0.1916143509244366
169	0.17719539918357083
170	0.17885661095440306
171	0.18721590030574237
172	0.1787431735254568
173	0.17909442698149308
174	0.18143313630255578
175	0.190108753851393
176	0.21534163139499093
177	0.19905495695479297
178	0.1914404885250485
179	0.18286214879116824
180	0.19011513338552544
181	0.18481632929735284
182	0.1860725543996069
183	0.18729972604132733
184	0.19188990534998743
185	0.1720398770678615
186	0.19080912788341173
187	0.1763585084691628
188	0.179493538952127
189	0.18360263645309888
190	0.183421359937735
191	0.19500091089585023
192	0.2007524839167997
193	0.1947184257446782
194	0.18322364254939494
195	0.1835675852113447
196	0.18456169548244997
197	0.17902789608480002
198	0.18060213721487758
199	0.17457067413923083
200	0.18418886020823005
201	0.17560004665654042
202	0.17011107452934487
203	0.17876872956882522
204	0.1780856565335225
205	0.18164283334383263
206	0.17621002393677448
207	0.1878262335317545
208	0.18904193405220743
209	0.17878588766212883
210	0.17721986620147312
211	0.17486405881611616
212	0.17502689404814206
213	0.18721327841792665
214	0.1823415722806221
215	0.18233866507501334
216	0.1855832614664464
217	0.16852086632767574
218	0.18005319465801928
219	0.1777588899748336
220	0.18040859313836033
221	0.18211662813044624
222	0.18562966658113045
223	0.19806228564252348
224	0.1907649471528753
225	0.19973433606584992
226	0.186520429365793
227	0.18974814078367097
228	0.18829014484878664
229	0.19692181834496622
230	0.18731511459775757
231	0.1731508059555934
232	0.18371295122963696
233	0.19441590029402198
234	0.1744356195114696
235	0.1827050935212694
236	0.18438081571577086
237	0.19400572572271252
238	0.18587975988984398
239	0.19881705898212784
240	0.19155190539035793
241	0.18128745930613213
242	0.18152180809560708
243	0.18653233152703722
244	0.19553264253048827
245	0.18145017937402547
246	0.1799451706583064
247	0.19253231144006253
248	0.18754022782419671
249	0.17057189301577189
250	0.17951659232452305
251	0.18494742109578546
252	0.18407619707937806
253	0.18736295722492338
254	0.19007183706002806
255	0.21938136919061338
