Byte	frequency
0	0.022831390596473353
1	0.006927821902643862
2	0.005765375288337456
3	0.005533796446037262
4	0.004179238544056712
5	0.0031135121556488702
6	0.002605722070301149
7	0.0033487472326625568
8	0.0039501774549130465
9	0.003027048299814976
10	0.0031957002959804226
11	0.0030825947819206703
12	0.0034418430575484187
13	0.002512850656786163
14	0.001973761074765275
15	0.0027550768424365276
16	0.0030399884780036818
17	0.0031393332851150013
18	0.002797956727524781
19	0.006307444569778221
20	0.006413173841570845
21	0.003755599567159744
22	0.003954821823922711
23	0.0044916851972130615
24	0.0035663274800054735
25	0.013048535755859389
26	0.002558956603668396
27	0.002111885033903925
28	0.007200735560184996
29	0.005419834042301222
30	0.0025353476062224527
31	0.002914346439198179
32	0.010982769035027427
33	0.004886128489268514
34	0.005228893886680986
35	0.003589351667449103
36	0.0048543191766493
37	0.004664056215006328
38	0.005833884952003022
39	0.0054594155883464605
40	0.004481307107351809
41	0.0073832122035949275
42	0.004902878286613097
43	0.0034048818868602725
44	0.0031578899621813425
45	0.004878633440097295
46	0.0038615827982261025
47	0.0033298699924363758
48	0.004699113932145752
49	0.004792546337848865
50	0.0038162260219790894
51	0.004248846588701869
52	0.003932070694521875
53	0.004310348724922713
54	0.003173885047831435
55	0.002982329574866338
56	0.008496044622333181
57	0.005463213549817735
58	0.0047634428112264034
59	0.00470434738079831
60	0.00570978900080106
61	0.0036802273876654227
62	0.003560784272437077
63	0.0034471393496467886
64	7.217717744905863E-4
65	7.576190410739118E-4
66	0.011976995012544884
67	0.011951780067668066
68	0.0017045126744504907
69	0.0012306978712444364
70	6.496898468796012E-4
71	8.268746195739738E-4
72	8.069279377831177E-4
73	9.580263251877671E-4
74	0.0011914125162104264
75	8.706396943835337E-4
76	8.060133060561284E-4
77	9.33737252481097E-4
78	0.0011436526745722483
79	9.487287718135801E-4
80	0.004380586461000695
81	0.0031600830617675643
82	9.905556537661902E-4
83	8.433560771815885E-4
84	7.83383087750138E-4
85	8.357345377424322E-4
86	9.432371054292733E-4
87	0.0019628441540756564
88	0.0028163039483120383
89	0.0019542927530478604
90	8.743920743078679E-4
91	8.71809411123496E-4
92	4.019916777646976E-4
93	5.104529312744042E-4
94	3.528514686917499E-4
95	4.595349752217359E-4
96	0.005127555496242861
97	0.0026731270936541716
98	0.02009330589813952
99	0.00648475293546876
100	0.004174266928550809
101	0.0048234432308916315
102	0.00539050406222267
103	0.004301807866337077
104	0.004032390135599952
105	0.003912364669556717
106	0.001269703439890599
107	0.001019332123053044
108	0.0017085663364139903
109	0.0013585053136331556
110	3.1999187394866246E-4
111	0.0020351291785804895
112	6.716523092522971E-4
113	4.623958338096835E-4
114	4.4867024370605276E-4
115	5.94291854113553E-4
116	2.4616776250009376E-4
117	3.87753539966785E-4
118	4.539323808187173E-4
119	5.946953268610662E-4
120	6.202695253905915E-4
121	4.740497966974378E-4
