Byte	CorrelationStrength
0	0.977406945244686
1	0.9932080553242341
2	0.9947925355147621
3	0.9948024783465321
4	0.9959882087466692
5	0.9972400429017109
6	0.9975486693856684
7	0.9969495742932327
8	0.9962950585294699
9	0.9972000088453935
10	0.9970898804338765
11	0.9971942545731214
12	0.9967362368530687
13	0.9976162755827108
14	0.99823311940643
15	0.9974999979473315
16	0.997591175300996
17	0.9974373854640629
18	0.9976094210252922
19	0.9942062416417069
20	0.9941701082491636
21	0.996763987110383
22	0.996619797919447
23	0.9958775445610345
24	0.9966110516924936
25	0.9873552490588807
26	0.997658328995876
27	0.9980710479889184
28	0.9930237497477019
29	0.9947418888911369
30	0.9975332465919515
31	0.9969525824770996
32	0.9892611114762039
33	0.9953281613979739
34	0.9949896014042996
35	0.9965533355012796
36	0.9951641084091758
37	0.9955143185351507
38	0.9946263531555717
39	0.9946053491926957
40	0.9956580456417168
41	0.9923089074053436
42	0.9955570358686043
43	0.9967620072683979
44	0.9968902763651806
45	0.9953230726315035
46	0.9962750205398705
47	0.9969820688291781
48	0.9953360655774437
49	0.9952705214416175
50	0.9962943124626177
51	0.9957131598789235
52	0.9961264457661769
53	0.995863811561855
54	0.9969562677460448
55	0.997106741509973
56	0.9917374872688675
57	0.9948372147431631
58	0.9953498922764471
59	0.9953661734947488
60	0.994209029355698
61	0.9963071701458796
62	0.9966336241713638
63	0.9967201376308269
64	0.9993107650431752
65	0.9993706010938442
66	0.9883542918639933
67	0.9874210518376437
68	0.9983779346994252
69	0.998858943112351
70	0.9994033045295092
71	0.9993251464795545
72	0.9993450555031269
73	0.9991493658141467
74	0.9990295089121775
75	0.9992808608760746
76	0.9993813413903406
77	0.9992402053840572
78	0.9988457674847877
79	0.9991578008875087
80	0.9952007167145992
81	0.9966076880253434
82	0.9991477122275904
83	0.9992912221407716
84	0.9993493071516819
85	0.9992531374917791
86	0.9991652957204331
87	0.9982408233915726
88	0.9970027915241141
89	0.9978658418556724
90	0.9992265376020857
91	0.9991826971079026
92	0.9996496232845964
93	0.9995858229292238
94	0.9997108831203315
95	0.9996329103015932
96	0.9951017594929312
97	0.9984194308187425
98	0.9801913817970026
99	0.993763146353176
100	0.9961090844943484
101	0.995540487368283
102	0.9949818804912743
103	0.9959467136538573
104	0.9964290512322524
105	0.9965179907023806
106	0.9986996939963
107	0.9989884868028276
108	0.9982890060606044
109	0.9986052043470227
110	0.9997993433352208
111	0.9981628580853692
112	0.9993875439685903
113	0.9996280910142974
114	0.9996294389095142
115	0.9994332176079058
116	0.9997762155398501
117	0.9996252079976028
118	0.9995551480100316
119	0.9994760700036434
120	0.9994978048785357
121	0.9995865958219315
122	0.9995487350916767
123	0.9996669761124778
124	0.9994817493859762
125	0.9996625705216898
126	0.99969773727058
127	1.0
128	1.0
129	0.9999977537247003
130	1.0
131	0.9999916382050537
132	1.0
133	1.0
134	1.0
135	1.0
136	1.0
137	0.7828598653942914
138	0.6529666389760914
139	0.999995209627076
140	1.0
141	0.9204029577324989
142	1.0
143	0.999998556500846
144	1.0
145	1.0
146	1.0
147	1.0
148	1.0
149	0.9999956583504559
150	0.999996883252938
151	1.0
152	0.9999949245963098
153	0.9999949245963098
154	1.0
155	0.999998326752092
156	0.9999969847224204
157	0.9999969847224204
158	0.9999953772821812
159	1.0
160	0.032655575121854456
161	0.9168032145854248
162	0.43323877536521854
163	0.9260047329033019
164	0.9810805410058536
165	0.9241075294663335
166	0.8889717313989659
167	0.86243103168869
168	0.8838436202170387
169	0.8837089903775809
170	0.9713122190103589
171	0.9470089492334459
172	0.8400748238041937
173	0.6468909150260596
174	0.6806904650894628
175	0.4621256639186327
176	0.736063986137362
177	0.7475878794059888
178	0.7536908698168552
179	0.817777486329917
180	0.8380265644549733
181	0.8333080597254033
182	0.845721950262671
183	0.8485218899353314
184	0.8495991848091691
185	0.8385975540924955
186	0.7779584049010576
187	0.8273649314409233
188	0.5393179813160955
189	0.5772010525102208
190	0.5393218677128409
191	0.9143217306419322
192	0.9773089998533083
193	0.850132193022829
194	0.8959013472023961
195	0.8529856389855487
196	0.8838271100861415
197	0.880562740959715
198	0.8867287366670658
199	0.9121563045827352
200	0.9111052934529339
201	0.8820160483150215
202	0.9378951619771343
203	0.947887798499908
204	0.8945805114898453
205	0.8887536101470711
206	0.8909917744802832
207	0.9045489111377787
208	0.8798906247992468
209	0.9609510055152641
210	0.89012002842928
211	0.8452304213476519
212	0.8577566599820889
213	0.9157873813514934
214	0.9343618667633591
215	0.9120278892792286
216	0.9540896387329181
217	0.9431081494218024
218	0.9652942244246008
219	0.9416712780051953
220	0.954379932312276
221	0.9416461083948184
222	0.9972645304523899
223	0.8134345731623153
224	0.9997543914522216
225	0.3235878245162979
226	0.706867805460344
227	0.48634498020238626
228	0.5395058727441839
229	0.24842884702590862
230	0.6776274529508519
231	0.6648022571664558
232	0.5885613133791369
233	0.35308983640913605
234	0.8517379050822145
235	0.7935428346636841
236	0.42759547148185045
237	0.5954477446312683
238	0.4424158602068192
239	0.43695378245390576
240	0.5509829568329676
241	0.9062115184378148
242	0.4231981509404565
243	0.3636660898433762
244	0.2945300145483922
245	0.6444986602353956
246	0.6864984217042917
247	0.6955923415353371
248	0.8040491764188639
249	0.727199411190649
250	0.9148228788375832
251	0.9299797659293924
252	0.9516258911398631
253	0.9300349803937654
254	0.9989070186064
255	0.9999798596176964
