Byte	frequency
0	0.022831390596473353
1	0.006927821902643862
2	0.005765375288337456
3	0.005533796446037262
4	0.004179238544056712
5	0.0031135121556488702
6	0.002605722070301149
7	0.0033487472326625568
8	0.0039501774549130465
9	0.003027048299814976
10	0.0031957002959804226
11	0.0030825947819206703
12	0.0034418430575484187
13	0.002512850656786163
14	0.001973761074765275
15	0.0027550768424365276
16	0.0030399884780036818
17	0.0031393332851150013
18	0.002797956727524781
19	0.006307444569778221
20	0.006413173841570845
21	0.003755599567159744
22	0.003954821823922711
23	0.0044916851972130615
24	0.0035663274800054735
25	0.013048535755859389
26	0.002558956603668396
27	0.002111885033903925
28	0.007200735560184996
29	0.005419834042301222
30	0.0025353476062224527
31	0.002914346439198179
32	0.010982769035027427
33	0.004886128489268514
