Byte	frequency
81	0.0
82	0.0
83	2.138121879951619E-5
84	0.0
85	0.0
86	1.4070188840699987E-4
87	1.6987252651004463E-4
88	1.0639577667739899E-4
89	9.503150193146779E-5
90	8.08134109585412E-6
91	0.0
92	0.0
93	0.0
94	0.0
95	6.452118696108656E-6
96	3.7989557364939637E-4
97	1.58617043304616E-4
98	0.037090727332183326
99	9.518974955312231E-4
100	2.2532207419206254E-4
101	3.698592901401053E-4
102	2.19504704296677E-4
103	2.505641652681999E-4
104	3.742143081437349E-4
105	2.7944223075287224E-4
106	2.555544441162013E-5
107	0.0
108	0.0
109	6.757677096526619E-5
110	0.0
111	4.602289822832547E-4
112	7.432871545420727E-5
113	2.1608706693839617E-5
114	0.0
115	6.465072876683296E-5
116	1.3997293371313682E-5
117	2.4244023287562363E-5
118	9.124673766077872E-6
119	0.0
120	0.0
121	0.0
122	4.247938179064026E-5
123	0.0
124	2.388573966119185E-5
125	0.0
126	0.0
127	0.0
128	0.0
129	0.0
130	0.0
131	0.0
132	0.0
133	5.3634863394496806E-6
134	0.0
135	0.0
136	0.0
137	0.30425727052486007
138	0.3820971940806205
139	0.0
140	0.0
141	0.04862006839811465
142	0.0
143	0.0
144	5.001990848474855E-6
145	0.0
146	0.0
147	0.0
148	0.0
149	0.0
150	0.0
151	0.0
152	0.0
153	1.5434487398814408E-5
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.8750899710432468
161	0.09075324770277057
162	0.35287593863727373
163	0.10279062481497715
164	0.006899090258349937
165	0.012901628835267069
166	0.1898991418538786
167	0.02778387374915867
168	0.04499538366758651
169	0.046532483151467324
170	0.004392378224205455
171	0.08674899836434904
172	0.17225204326969937
173	0.30331157382752055
174	0.4021999680424283
175	0.6515687228231224
176	0.3863532524227849
177	0.347144595601269
178	0.29486688713972714
179	0.19678032777787202
180	0.18427433336427276
181	0.1919043450385843
182	0.12319738333959285
183	0.13192462485267986
184	0.17258547826409784
185	0.1275338307455548
186	0.36909889950026964
187	0.1989904707318451
188	0.48431952077807766
189	0.2891764816746781
190	0.4843093967956148
191	0.13057746509709733
192	0.013222203562277523
193	0.2374138078052865
194	0.13024447891861857
195	0.18514624098534666
196	0.21023214921999306
197	0.09349214838619234
198	0.15611838322211172
199	0.06957691926754829
200	0.06688649243560624
201	0.11730499886372299
202	0.0683684315089386
203	0.03286266132168839
204	0.09689172759679501
205	0.11179041098417311
206	0.11604110269055058
207	0.08033553616302054
208	0.1551110469727274
209	0.016475568080943075
210	0.09877997565202142
211	0.18533388535501089
212	0.1962489139764756
213	0.09491975551587609
214	0.04601457716886345
215	0.09535847439884129
216	0.019261177894127016
217	0.0340037433957381
218	0.013841856806250667
219	0.11335906717353195
220	8.945522155728038E-4
221	0.11328237559170583
222	8.939729270672294E-5
223	0.10488469832044078
224	1.4282439773472032E-4
225	0.7245914410967074
226	0.2973454374923044
227	0.5315681419124537
228	0.5264786194324473
229	0.8963402818181446
230	0.3262608138443162
231	0.46329782233802175
232	0.4768997682274467
233	0.7035982545113991
234	0.07435533974636793
235	0.24740182875101407
236	0.6251960117578218
237	0.48331005788780773
238	0.7061718729024286
239	0.7358928726253186
240	0.5157853120803118
241	0.13332161061058528
242	0.6815461513042702
243	0.7171332590248657
244	0.8720480016618486
245	0.46632286892837366
246	0.29350343782779664
247	0.32641172035053756
248	0.19602083516833751
249	0.3487758351697834
250	0.056298575828423965
251	0.0016421492537252668
252	0.004032303073799317
253	0.0017194616634463554
254	0.010436811129443608
255	0.0
